Country or Region,latitude,longitude,Rank,Score,GDP,Family,Health,Freedom,Generosity,Corruption,Year
Malaysia,4.210483999999999,101.97576600000001,35,6.322,1.161,1.258,0.669,0.35600000000000004,0.311,0.059000000000000004,2018
Spain,40.463667,-3.7492199999999998,36,6.31,1.251,1.538,0.965,0.449,0.142,0.07400000000000001,2018
Colombia,4.570868,-74.297333,37,6.26,0.96,1.439,0.635,0.531,0.099,0.039,2018
Trinidad and Tobago,10.66668,-61.51889,38,6.192,1.2229999999999999,1.492,0.564,0.575,0.171,0.019,2018
Slovakia,48.669026,19.699023999999998,39,6.172999999999999,1.21,1.537,0.7759999999999999,0.354,0.11800000000000001,0.013999999999999999,2018
El Salvador,13.794185,-88.89653,40,6.167000000000001,0.8059999999999999,1.2309999999999999,0.639,0.461,0.065,0.08199999999999999,2018
Nicaragua,12.865416,-85.207229,41,6.141,0.6679999999999999,1.319,0.7,0.527,0.20800000000000002,0.128,2018
Poland,51.919438,19.145135999999997,42,6.122999999999999,1.176,1.4480000000000002,0.7809999999999999,0.546,0.10800000000000001,0.064,2018
Bahrain,25.930414000000003,50.637772,43,6.105,1.338,1.3659999999999999,0.698,0.594,0.243,0.12300000000000001,2018
Uzbekistan,41.377491,64.585262,44,6.096,0.7190000000000001,1.584,0.605,0.7240000000000001,0.32799999999999996,0.259,2018
Kuwait,29.311659999999996,47.481766,45,6.082999999999999,1.474,1.301,0.675,0.5539999999999999,0.16699999999999998,0.106,2018
Thailand,15.870032,100.992541,46,6.072,1.016,1.4169999999999998,0.7070000000000001,0.637,0.364,0.028999999999999998,2018
Italy,41.87194,12.56738,47,6.0,1.264,1.501,0.946,0.281,0.13699999999999998,0.027999999999999997,2018
Ecuador,-1.8312389999999998,-78.183406,48,5.973,0.889,1.33,0.736,0.556,0.114,0.12,2018
Belize,17.189877,-88.49765,49,5.956,0.807,1.101,0.474,0.593,0.183,0.08900000000000001,2018
Lithuania,55.169438,23.881275,50,5.952000000000001,1.197,1.527,0.716,0.35,0.026000000000000002,0.006,2018
Slovenia,46.151241,14.995463,51,5.9479999999999995,1.219,1.506,0.856,0.633,0.16,0.051,2018
Romania,45.943160999999996,24.96676,52,5.945,1.1159999999999999,1.219,0.726,0.528,0.08800000000000001,0.001,2018
Latvia,56.879635,24.603189,53,5.933,1.148,1.454,0.6709999999999999,0.363,0.092,0.066,2018
Japan,36.204824,138.252924,54,5.915,1.294,1.462,0.988,0.5529999999999999,0.079,0.15,2018
Mauritius,-20.348404000000002,57.552152,55,5.891,1.09,1.3869999999999998,0.684,0.584,0.245,0.05,2018
Jamaica,18.109581,-77.297508,56,5.89,0.8190000000000001,1.493,0.693,0.575,0.096,0.031,2018
South Korea,35.907757000000004,127.766922,57,5.875,1.266,1.204,0.955,0.244,0.175,0.051,2018
North Cyprus,40.448761,-111.807632,58,5.835,1.229,1.2109999999999999,0.909,0.495,0.179,0.154,2018
Russia,61.52401,105.31875600000001,59,5.81,1.151,1.479,0.599,0.39899999999999997,0.065,0.025,2018
Kazakhstan,48.019573,66.923684,60,5.79,1.143,1.516,0.631,0.45399999999999996,0.14800000000000002,0.121,2018
Cyprus,35.126413,33.429859,61,5.7620000000000005,1.229,1.1909999999999998,0.909,0.423,0.20199999999999999,0.035,2018
Bolivia,-16.290154,-63.588653,62,5.752000000000001,0.7509999999999999,1.2229999999999999,0.508,0.606,0.141,0.054000000000000006,2018
Estonia,58.595271999999994,25.013607,63,5.739,1.2,1.5319999999999998,0.737,0.5529999999999999,0.086,0.174,2018
Paraguay,-23.442503,-58.44383199999999,64,5.681,0.835,1.5219999999999998,0.615,0.541,0.162,0.07400000000000001,2018
Peru,-9.189967,-75.015152,65,5.662999999999999,0.934,1.249,0.674,0.53,0.092,0.034,2018
Kosovo,42.602636,20.902977,66,5.662000000000001,0.855,1.23,0.578,0.44799999999999995,0.27399999999999997,0.023,2018
Moldova,47.411631,28.369884999999996,67,5.64,0.657,1.301,0.62,0.23199999999999998,0.171,0.0,2018
Turkmenistan,38.969719,59.556278000000006,68,5.636,1.016,1.5330000000000001,0.517,0.41700000000000004,0.19899999999999998,0.037000000000000005,2018
Hungary,47.162494,19.503304,69,5.62,1.171,1.401,0.732,0.259,0.061,0.022000000000000002,2018
Libya,26.3351,17.228331,70,5.566,0.985,1.35,0.5529999999999999,0.496,0.11599999999999999,0.14800000000000002,2018
Philippines,12.879721,121.77401699999999,71,5.524,0.775,1.3119999999999998,0.513,0.643,0.12,0.105,2018
Honduras,15.199998999999998,-86.241905,72,5.504,0.62,1.205,0.622,0.45899999999999996,0.19699999999999998,0.07400000000000001,2018
Belarus,53.709807,27.953389,73,5.483,1.0390000000000001,1.4980000000000002,0.7,0.307,0.10099999999999999,0.154,2018
Turkey,38.963745,35.243322,74,5.483,1.148,1.38,0.6859999999999999,0.324,0.106,0.109,2018
Pakistan,30.375321000000003,69.345116,75,5.472,0.652,0.81,0.424,0.33399999999999996,0.21600000000000003,0.113,2018
Hong Kong,22.396428,114.10949699999999,76,5.43,1.405,1.29,1.03,0.524,0.24600000000000002,0.29100000000000004,2018
Portugal,39.399871999999995,-8.224454,77,5.41,1.188,1.429,0.884,0.562,0.055,0.017,2018
Serbia,44.016521000000004,21.005859,78,5.398,0.975,1.369,0.685,0.28800000000000003,0.134,0.043,2018
Greece,39.074208,21.824312,79,5.358,1.1540000000000001,1.202,0.879,0.131,0.0,0.044000000000000004,2018
Lebanon,33.854721000000005,35.862285,80,5.358,0.965,1.179,0.785,0.503,0.214,0.136,2018
Montenegro,42.708678000000006,19.37439,81,5.347,1.0170000000000001,1.2790000000000001,0.7290000000000001,0.259,0.111,0.081,2018
Croatia,45.1,15.2,82,5.321000000000001,1.115,1.161,0.737,0.38,0.12,0.039,2018
Dominican Republic,18.735692999999998,-70.162651,83,5.3020000000000005,0.982,1.4409999999999998,0.614,0.578,0.12,0.106,2018
Algeria,28.033886,1.6596259999999998,84,5.295,0.9790000000000001,1.1540000000000001,0.687,0.077,0.055,0.135,2018
Morocco,31.791702,-7.09262,85,5.254,0.779,0.797,0.669,0.46,0.026000000000000002,0.07400000000000001,2018
China,35.86166,104.195397,86,5.246,0.9890000000000001,1.1420000000000001,0.799,0.597,0.028999999999999998,0.10300000000000001,2018
Azerbaijan,40.143105,47.576927000000005,87,5.2010000000000005,1.024,1.161,0.603,0.43,0.031,0.17600000000000002,2018
Tajikistan,38.861034000000004,71.276093,88,5.199,0.474,1.166,0.598,0.292,0.187,0.034,2018
Macedonia,41.608635,21.745275,89,5.185,0.9590000000000001,1.239,0.691,0.39399999999999996,0.17300000000000001,0.052000000000000005,2018
Jordan,30.585164000000002,36.238414,90,5.1610000000000005,0.8220000000000001,1.265,0.645,0.46799999999999997,0.13,0.134,2018
Nigeria,9.081999,8.675277000000001,91,5.155,0.6890000000000001,1.172,0.048,0.462,0.201,0.032,2018
Kyrgyzstan,41.20438,74.766098,92,5.131,0.53,1.416,0.594,0.54,0.281,0.035,2018
Bosnia and Herzegovina,43.915886,17.679076000000002,93,5.129,0.915,1.078,0.758,0.28,0.21600000000000003,0.0,2018
Mongolia,46.862496,103.84665600000001,94,5.125,0.914,1.517,0.575,0.395,0.253,0.032,2018
Vietnam,14.058323999999999,108.277199,95,5.103,0.715,1.365,0.7020000000000001,0.618,0.177,0.079,2018
Indonesia,-0.789275,113.921327,96,5.093,0.899,1.215,0.522,0.5379999999999999,0.484,0.018000000000000002,2018
Bhutan,27.514162,90.433601,97,5.082,0.7959999999999999,1.335,0.527,0.541,0.364,0.171,2018
Somalia,5.152149,46.199616,98,4.982,0.0,0.7120000000000001,0.115,0.674,0.23800000000000002,0.282,2018
Cameroon,7.369722,12.354722,99,4.975,0.535,0.8909999999999999,0.182,0.45399999999999996,0.183,0.043,2018
Bulgaria,42.733883,25.48583,100,4.933,1.054,1.515,0.7120000000000001,0.359,0.064,0.009000000000000001,2018
Nepal,28.394857000000002,84.12400799999999,101,4.88,0.425,1.228,0.539,0.526,0.302,0.078,2018
Venezuela,6.42375,-66.58973,102,4.806,0.996,1.469,0.657,0.133,0.055999999999999994,0.052000000000000005,2018
Gabon,-0.803689,11.609444,103,4.758,1.036,1.1640000000000001,0.40399999999999997,0.35600000000000004,0.032,0.052000000000000005,2018
Palestinian Territories,31.952162,35.233154,104,4.743,0.642,1.217,0.602,0.266,0.086,0.076,2018
South Africa,-30.559482,22.937506,105,4.724,0.94,1.41,0.33,0.516,0.10300000000000001,0.055999999999999994,2018
Iran,32.427908,53.68804599999999,106,4.707,1.0590000000000002,0.7709999999999999,0.691,0.45899999999999996,0.282,0.129,2018
Ivory Coast,5.30966,-4.01266,107,4.671,0.541,0.872,0.08,0.467,0.146,0.10300000000000001,2018
Ghana,7.946527000000001,-1.0231940000000002,108,4.657,0.5920000000000001,0.8959999999999999,0.337,0.499,0.212,0.028999999999999998,2018
Senegal,14.497401000000002,-14.452361999999999,109,4.631,0.429,1.117,0.433,0.406,0.138,0.08199999999999999,2018
Laos,19.856270000000002,102.495496,110,4.623,0.72,1.034,0.441,0.626,0.23,0.174,2018
Tunisia,33.886917,9.537499,111,4.592,0.9,0.9059999999999999,0.69,0.271,0.04,0.063,2018
Albania,41.153332,20.168331,112,4.586,0.9159999999999999,0.8170000000000001,0.79,0.419,0.149,0.032,2018
Sierra Leone,8.460555000000001,-11.779889,113,4.571000000000001,0.256,0.813,0.0,0.355,0.23800000000000002,0.053,2018
Congo (Brazzaville),-4.26613,15.283179999999998,114,4.559,0.682,0.8109999999999999,0.34299999999999997,0.514,0.091,0.077,2018
Bangladesh,23.684994,90.35633100000001,115,4.5,0.532,0.85,0.579,0.58,0.153,0.14400000000000002,2018
Sri Lanka,7.873054,80.77179699999999,116,4.471,0.9179999999999999,1.314,0.672,0.585,0.307,0.05,2018
Iraq,33.223191,43.679291,117,4.456,1.01,0.971,0.536,0.304,0.14800000000000002,0.095,2018
Mali,17.570692,-3.9961660000000006,118,4.447,0.37,1.2329999999999999,0.152,0.36700000000000005,0.139,0.055999999999999994,2018
Namibia,-22.957639999999998,18.49041,119,4.441,0.8740000000000001,1.281,0.365,0.519,0.051,0.064,2018
Cambodia,12.565679,104.990963,120,4.433,0.5489999999999999,1.088,0.457,0.696,0.256,0.065,2018
Burkina Faso,12.238333,-1.561593,121,4.4239999999999995,0.314,1.097,0.254,0.312,0.175,0.128,2018
Egypt,26.820553000000004,30.802497999999996,122,4.419,0.885,1.025,0.5529999999999999,0.312,0.092,0.107,2018
Mozambique,-18.665695,35.529562,123,4.417,0.198,0.902,0.17300000000000001,0.531,0.20600000000000002,0.158,2018
Kenya,-0.023559,37.906193,124,4.41,0.493,1.048,0.45399999999999996,0.504,0.35200000000000004,0.055,2018
Zambia,-13.133897,27.849332,125,4.377,0.562,1.047,0.295,0.503,0.221,0.08199999999999999,2018
Mauritania,21.00789,-10.940835,126,4.356,0.557,1.245,0.292,0.129,0.134,0.09300000000000001,2018
Ethiopia,9.145,40.489672999999996,127,4.35,0.308,0.95,0.391,0.452,0.22,0.146,2018
Georgia,42.315407,43.356891999999995,128,4.34,0.853,0.5920000000000001,0.643,0.375,0.038,0.215,2018
Armenia,40.069099,45.038189,129,4.321000000000001,0.816,0.99,0.6659999999999999,0.26,0.077,0.027999999999999997,2018
Myanmar,21.916222,95.955971,130,4.308,0.682,1.1740000000000002,0.429,0.58,0.598,0.17800000000000002,2018
Chad,15.454166,18.732207,131,4.301,0.358,0.907,0.053,0.18899999999999997,0.18100000000000002,0.06,2018
Congo (Kinshasa),-4.32153,15.31185,132,4.245,0.069,1.136,0.204,0.312,0.19699999999999998,0.052000000000000005,2018
India,20.593684,78.96288,133,4.19,0.721,0.747,0.485,0.539,0.172,0.09300000000000001,2018
Niger,17.607789,8.081666,134,4.166,0.131,0.867,0.221,0.39,0.175,0.099,2018
Uganda,1.373333,32.290275,135,4.1610000000000005,0.322,1.09,0.237,0.45,0.259,0.061,2018
Benin,9.30769,2.315834,136,4.141,0.37799999999999995,0.37200000000000005,0.24,0.44,0.163,0.067,2018
Sudan,12.862807,30.217636,137,4.138999999999999,0.605,1.24,0.312,0.016,0.134,0.08199999999999999,2018
Ukraine,48.379433,31.16558,138,4.103,0.7929999999999999,1.413,0.609,0.163,0.187,0.011000000000000001,2018
Togo,8.619543,0.824782,139,3.9989999999999997,0.259,0.474,0.253,0.434,0.158,0.10099999999999999,2018
Guinea,9.945587,-9.696645,140,3.964,0.344,0.792,0.21100000000000002,0.39399999999999996,0.185,0.094,2018
Lesotho,-29.609988,28.233608,141,3.8080000000000003,0.47200000000000003,1.215,0.079,0.423,0.11599999999999999,0.11199999999999999,2018
Angola,-11.202691999999999,17.873887,142,3.795,0.73,1.125,0.26899999999999996,0.0,0.079,0.061,2018
Madagascar,-18.766947000000002,46.869107,143,3.7739999999999996,0.262,0.9079999999999999,0.402,0.221,0.155,0.049,2018
Zimbabwe,-19.015438,29.154857,144,3.6919999999999997,0.35700000000000004,1.094,0.248,0.406,0.132,0.099,2018
Afghanistan,33.93911,67.709953,145,3.6319999999999997,0.332,0.537,0.255,0.085,0.191,0.036000000000000004,2018
Botswana,-22.328474,24.684866,146,3.59,1.0170000000000001,1.1740000000000002,0.41700000000000004,0.557,0.042,0.092,2018
Malawi,-13.254307999999998,34.301525,147,3.5869999999999997,0.18600000000000003,0.541,0.306,0.531,0.21,0.08,2018
Haiti,18.971187,-72.28521500000001,148,3.582,0.315,0.7140000000000001,0.289,0.025,0.392,0.10400000000000001,2018
Liberia,6.4280550000000005,-9.429499,149,3.495,0.076,0.858,0.267,0.419,0.20600000000000002,0.03,2018
Syria,34.802075,38.996815000000005,150,3.4619999999999997,0.6890000000000001,0.382,0.539,0.08800000000000001,0.376,0.14400000000000002,2018
Rwanda,-1.940278,29.873888,151,3.408,0.332,0.8959999999999999,0.4,0.636,0.2,0.444,2018
Yemen,15.552726999999999,48.516388,152,3.355,0.442,1.073,0.34299999999999997,0.244,0.083,0.064,2018
Tanzania,-6.369028,34.888822,153,3.303,0.455,0.991,0.381,0.48100000000000004,0.27,0.09699999999999999,2018
South Sudan,4.85165,31.58247,154,3.2539999999999996,0.337,0.608,0.177,0.11199999999999999,0.22399999999999998,0.106,2018
Central African Republic,6.611111,20.939444,155,3.083,0.024,0.0,0.01,0.305,0.218,0.038,2018
Burundi,-3.3730559999999996,29.918885999999997,156,2.905,0.091,0.627,0.145,0.065,0.149,0.076,2018
