Country or Region,latitude,longitude,Rank,Score,GDP,Family,Health,Freedom,Generosity,Corruption,Year
Croatia,45.1,15.2,75,5.432,1.155,1.266,0.914,0.29600000000000004,0.11900000000000001,0.022000000000000002,2019
Hong Kong,22.396428,114.10949699999999,76,5.43,1.4380000000000002,1.2770000000000001,1.122,0.44,0.258,0.287,2019
Dominican Republic,18.735692999999998,-70.162651,77,5.425,1.015,1.401,0.779,0.49700000000000005,0.113,0.10099999999999999,2019
Bosnia and Herzegovina,43.915886,17.679076000000002,78,5.386,0.945,1.212,0.845,0.212,0.263,0.006,2019
Turkey,38.963745,35.243322,79,5.372999999999999,1.183,1.36,0.8079999999999999,0.195,0.083,0.106,2019
Malaysia,4.210483999999999,101.97576600000001,80,5.3389999999999995,1.2209999999999999,1.171,0.828,0.508,0.26,0.024,2019
Belarus,53.709807,27.953389,81,5.3229999999999995,1.067,1.465,0.789,0.235,0.094,0.142,2019
Greece,39.074208,21.824312,82,5.287000000000001,1.181,1.156,0.9990000000000001,0.067,0.0,0.034,2019
Mongolia,46.862496,103.84665600000001,83,5.285,0.948,1.531,0.667,0.317,0.235,0.038,2019
North Macedonia,41.99646,21.43141,84,5.274,0.983,1.294,0.838,0.345,0.185,0.034,2019
Nigeria,9.081999,8.675277000000001,85,5.265,0.696,1.111,0.245,0.426,0.215,0.040999999999999995,2019
Kyrgyzstan,41.20438,74.766098,86,5.261,0.551,1.4380000000000002,0.723,0.508,0.3,0.023,2019
Turkmenistan,38.969719,59.556278000000006,87,5.247000000000001,1.052,1.538,0.657,0.39399999999999996,0.244,0.027999999999999997,2019
Algeria,28.033886,1.6596259999999998,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2019
Morocco,31.791702,-7.09262,89,5.207999999999999,0.8009999999999999,0.782,0.782,0.418,0.036000000000000004,0.076,2019
Azerbaijan,40.143105,47.576927000000005,90,5.207999999999999,1.043,1.147,0.769,0.35100000000000003,0.035,0.182,2019
Lebanon,33.854721000000005,35.862285,91,5.197,0.987,1.224,0.815,0.21600000000000003,0.166,0.027000000000000003,2019
Indonesia,-0.789275,113.921327,92,5.192,0.9309999999999999,1.203,0.66,0.491,0.498,0.027999999999999997,2019
China,35.86166,104.195397,93,5.191,1.0290000000000001,1.125,0.893,0.521,0.057999999999999996,0.1,2019
Vietnam,14.058323999999999,108.277199,94,5.175,0.741,1.3459999999999999,0.851,0.5429999999999999,0.147,0.073,2019
Bhutan,27.514162,90.433601,95,5.082,0.813,1.321,0.604,0.457,0.37,0.16699999999999998,2019
Cameroon,7.369722,12.354722,96,5.044,0.5489999999999999,0.91,0.331,0.381,0.187,0.037000000000000005,2019
Bulgaria,42.733883,25.48583,97,5.011,1.092,1.5130000000000001,0.815,0.311,0.081,0.004,2019
Ghana,7.946527000000001,-1.0231940000000002,98,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2019
Ivory Coast,5.30966,-4.01266,99,4.944,0.569,0.8079999999999999,0.23199999999999998,0.35200000000000004,0.154,0.09,2019
Nepal,28.394857000000002,84.12400799999999,100,4.913,0.446,1.226,0.677,0.439,0.285,0.08900000000000001,2019
Jordan,30.585164000000002,36.238414,101,4.906000000000001,0.8370000000000001,1.225,0.815,0.38299999999999995,0.11,0.13,2019
Benin,9.30769,2.315834,102,4.883,0.39299999999999996,0.43700000000000006,0.397,0.349,0.175,0.08199999999999999,2019
Congo (Brazzaville),-4.26613,15.283179999999998,103,4.812,0.6729999999999999,0.799,0.508,0.37200000000000005,0.105,0.09300000000000001,2019
Gabon,-0.803689,11.609444,104,4.7989999999999995,1.057,1.183,0.5710000000000001,0.295,0.043,0.055,2019
Laos,19.856270000000002,102.495496,105,4.796,0.764,1.03,0.551,0.547,0.266,0.16399999999999998,2019
South Africa,-30.559482,22.937506,106,4.7219999999999995,0.96,1.351,0.469,0.389,0.13,0.055,2019
Albania,41.153332,20.168331,107,4.718999999999999,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.17800000000000002,0.027000000000000003,2019
Venezuela,6.42375,-66.58973,108,4.707,0.96,1.4269999999999998,0.805,0.154,0.064,0.047,2019
Cambodia,12.565679,104.990963,109,4.7,0.574,1.122,0.637,0.609,0.23199999999999998,0.062,2019
Palestinian Territories,31.952162,35.233154,110,4.696000000000001,0.657,1.247,0.672,0.225,0.10300000000000001,0.066,2019
Senegal,14.497401000000002,-14.452361999999999,111,4.681,0.45,1.1340000000000001,0.5710000000000001,0.292,0.153,0.07200000000000001,2019
Somalia,5.152149,46.199616,112,4.668,0.0,0.698,0.268,0.5589999999999999,0.243,0.27,2019
Namibia,-22.957639999999998,18.49041,113,4.638999999999999,0.879,1.3130000000000002,0.47700000000000004,0.401,0.07,0.055999999999999994,2019
Niger,17.607789,8.081666,114,4.628,0.138,0.774,0.366,0.318,0.188,0.102,2019
Burkina Faso,12.238333,-1.561593,115,4.587,0.331,1.056,0.38,0.255,0.177,0.113,2019
Armenia,40.069099,45.038189,116,4.559,0.85,1.055,0.815,0.28300000000000003,0.095,0.064,2019
Iran,32.427908,53.68804599999999,117,4.548,1.1,0.8420000000000001,0.785,0.305,0.27,0.125,2019
Guinea,9.945587,-9.696645,118,4.534,0.38,0.8290000000000001,0.375,0.332,0.207,0.086,2019
Georgia,42.315407,43.356891999999995,119,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.043,0.16399999999999998,2019
Gambia,13.443182,-15.310139000000001,120,4.516,0.308,0.9390000000000001,0.428,0.382,0.26899999999999996,0.16699999999999998,2019
Kenya,-0.023559,37.906193,121,4.5089999999999995,0.512,0.983,0.581,0.431,0.37200000000000005,0.053,2019
Mauritania,21.00789,-10.940835,122,4.49,0.57,1.167,0.489,0.066,0.106,0.08800000000000001,2019
Mozambique,-18.665695,35.529562,123,4.466,0.204,0.986,0.39,0.494,0.19699999999999998,0.138,2019
Tunisia,33.886917,9.537499,124,4.461,0.9209999999999999,1.0,0.815,0.16699999999999998,0.059000000000000004,0.055,2019
Bangladesh,23.684994,90.35633100000001,125,4.456,0.562,0.9279999999999999,0.723,0.527,0.166,0.14300000000000002,2019
Iraq,33.223191,43.679291,126,4.437,1.043,0.98,0.574,0.24100000000000002,0.14800000000000002,0.08900000000000001,2019
Congo (Kinshasa),-4.32153,15.31185,127,4.418,0.094,1.125,0.35700000000000004,0.26899999999999996,0.212,0.053,2019
Mali,17.570692,-3.9961660000000006,128,4.39,0.385,1.105,0.308,0.327,0.153,0.052000000000000005,2019
Sierra Leone,8.460555000000001,-11.779889,129,4.374,0.268,0.841,0.242,0.309,0.252,0.045,2019
Sri Lanka,7.873054,80.77179699999999,130,4.3660000000000005,0.9490000000000001,1.265,0.831,0.47,0.244,0.047,2019
Myanmar,21.916222,95.955971,131,4.36,0.71,1.181,0.555,0.525,0.5660000000000001,0.172,2019
Chad,15.454166,18.732207,132,4.35,0.35,0.7659999999999999,0.192,0.174,0.198,0.078,2019
Ukraine,48.379433,31.16558,133,4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,0.187,0.01,2019
Ethiopia,9.145,40.489672999999996,134,4.2860000000000005,0.336,1.033,0.532,0.344,0.209,0.1,2019
Swaziland,-26.522503000000004,31.465866,135,4.212,0.8109999999999999,1.149,0.0,0.313,0.07400000000000001,0.135,2019
Uganda,1.373333,32.290275,136,4.189,0.332,1.069,0.44299999999999995,0.35600000000000004,0.252,0.06,2019
Egypt,26.820553000000004,30.802497999999996,137,4.166,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.076,0.067,2019
Zambia,-13.133897,27.849332,138,4.107,0.578,1.058,0.426,0.431,0.247,0.087,2019
Togo,8.619543,0.824782,139,4.085,0.275,0.5720000000000001,0.41,0.293,0.177,0.085,2019
India,20.593684,78.96288,140,4.015,0.755,0.765,0.588,0.498,0.2,0.085,2019
Liberia,6.4280550000000005,-9.429499,141,3.975,0.073,0.922,0.44299999999999995,0.37,0.233,0.033,2019
Comoros,-11.875001,43.872219,142,3.9730000000000003,0.27399999999999997,0.757,0.505,0.142,0.275,0.078,2019
Madagascar,-18.766947000000002,46.869107,143,3.9330000000000003,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.16899999999999998,0.040999999999999995,2019
Lesotho,-29.609988,28.233608,144,3.802,0.489,1.169,0.168,0.359,0.107,0.09300000000000001,2019
Burundi,-3.3730559999999996,29.918885999999997,145,3.775,0.046,0.447,0.38,0.22,0.17600000000000002,0.18,2019
Zimbabwe,-19.015438,29.154857,146,3.6630000000000003,0.366,1.114,0.433,0.361,0.151,0.08900000000000001,2019
Haiti,18.971187,-72.28521500000001,147,3.597,0.32299999999999995,0.688,0.449,0.026000000000000002,0.419,0.11,2019
Botswana,-22.328474,24.684866,148,3.488,1.041,1.145,0.5379999999999999,0.455,0.025,0.1,2019
Syria,34.802075,38.996815000000005,149,3.4619999999999997,0.619,0.37799999999999995,0.44,0.013000000000000001,0.331,0.141,2019
Malawi,-13.254307999999998,34.301525,150,3.41,0.191,0.56,0.495,0.44299999999999995,0.218,0.08900000000000001,2019
Yemen,15.552726999999999,48.516388,151,3.38,0.287,1.163,0.46299999999999997,0.14300000000000002,0.10800000000000001,0.077,2019
Rwanda,-1.940278,29.873888,152,3.3339999999999996,0.359,0.711,0.614,0.555,0.217,0.41100000000000003,2019
Tanzania,-6.369028,34.888822,153,3.2310000000000003,0.47600000000000003,0.885,0.499,0.41700000000000004,0.276,0.147,2019
Afghanistan,33.93911,67.709953,154,3.2030000000000003,0.35,0.517,0.361,0.0,0.158,0.025,2019
Central African Republic,6.611111,20.939444,155,3.083,0.026000000000000002,0.0,0.105,0.225,0.235,0.035,2019
South Sudan,4.85165,31.58247,156,2.853,0.306,0.575,0.295,0.01,0.20199999999999999,0.091,2019
