Country or Region,latitude,longitude,Rank,Score,GDP,Family,Health,Freedom,Generosity,Corruption,Year
Spain,40.463667,-3.7492199999999998,36,6.329,1.23011,1.31379,0.95562,0.45951000000000003,0.18227000000000002,0.06398,2015
Malta,35.937496,14.375416,37,6.3020000000000005,1.2074,1.30203,0.88721,0.60365,0.51752,0.13585999999999998,2015
Taiwan,23.69781,120.96051499999999,38,6.297999999999999,1.29098,1.07617,0.8753,0.3974,0.25376,0.08129,2015
Kuwait,29.311659999999996,47.481766,39,6.295,1.5542200000000002,1.16594,0.72492,0.55499,0.16228,0.25609,2015
Suriname,3.9193050000000005,-56.02778299999999,40,6.269,0.99534,0.972,0.6082,0.5965699999999999,0.16990999999999998,0.13633,2015
Trinidad and Tobago,10.691803,-61.222503,41,6.167999999999999,1.21183,1.18354,0.61483,0.55884,0.31844,0.0114,2015
El Salvador,13.794185,-88.89653,42,6.13,0.76454,1.0250700000000001,0.67737,0.4035,0.10692,0.11775999999999999,2015
Guatemala,15.783470999999999,-90.23075899999999,43,6.122999999999999,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472,2015
Uzbekistan,41.377491,64.585262,44,6.002999999999999,0.63244,1.34043,0.59772,0.6582100000000001,0.22837,0.30826,2015
Slovakia,48.669026,19.699023999999998,45,5.995,1.1689100000000001,1.26999,0.7890199999999999,0.31751,0.16893,0.03431,2015
Japan,36.204824,138.252924,46,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806,2015
South Korea,35.907757000000004,127.766922,47,5.984,1.24461,0.9577399999999999,0.9653799999999999,0.33208000000000004,0.18557,0.07857,2015
Ecuador,-1.8312389999999998,-78.183406,48,5.975,0.8640200000000001,0.99903,0.79075,0.48573999999999995,0.11540999999999998,0.1809,2015
Bahrain,25.930414000000003,50.637772,49,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,2015
Italy,41.87194,12.56738,50,5.9479999999999995,1.25114,1.19777,0.9544600000000001,0.26236,0.22823000000000002,0.02901,2015
Bolivia,-16.290154,-63.588653,51,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.08800000000000001,2015
Moldova,47.411631,28.369884999999996,52,5.888999999999999,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615,2015
Paraguay,-23.442503,-58.44383199999999,53,5.877999999999999,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242000000000001,2015
Kazakhstan,48.019573,66.923684,54,5.855,1.1225399999999999,1.1224100000000001,0.64368,0.51649,0.11827,0.08454,2015
Slovenia,46.151241,14.995463,55,5.848,1.18498,1.27385,0.8733700000000001,0.60855,0.25328,0.03787,2015
Lithuania,55.169438,23.881275,56,5.832999999999999,1.14723,1.25745,0.73128,0.21341999999999997,0.026410000000000003,0.01031,2015
Nicaragua,12.865416,-85.207229,57,5.827999999999999,0.59325,1.14184,0.7431399999999999,0.55475,0.27815,0.19317,2015
Peru,-9.189967,-75.015152,58,5.824,0.9001899999999999,0.97459,0.73017,0.41496000000000005,0.14982,0.05989,2015
Belarus,53.709807,27.953389,59,5.813,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.11045999999999999,0.1909,2015
Poland,51.919438,19.145135999999997,60,5.791,1.12555,1.27948,0.77903,0.53122,0.16759000000000002,0.04212,2015
Malaysia,4.210483999999999,101.97576600000001,61,5.77,1.12486,1.07023,0.7239399999999999,0.5302399999999999,0.33075,0.10500999999999999,2015
Croatia,45.1,15.2,62,5.7589999999999995,1.08254,0.79624,0.78805,0.25883,0.054439999999999995,0.0243,2015
Libya,26.3351,17.228331,63,5.754,1.13145,1.1186200000000002,0.7038,0.41668,0.18295,0.11023,2015
Russia,61.52401,105.31875600000001,64,5.716,1.13764,1.23617,0.6692600000000001,0.36679,0.00199,0.03005,2015
Jamaica,18.109581,-77.297508,65,5.709,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.2123,0.02299,2015
North Cyprus,40.448761,-111.807632,66,5.695,1.2080600000000001,1.07008,0.92356,0.49027,0.26169000000000003,0.1428,2015
Cyprus,35.126413,33.429859,67,5.689,1.20813,0.89318,0.92356,0.40671999999999997,0.30638000000000004,0.06146,2015
Algeria,28.033886,1.6596259999999998,68,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17382999999999998,2015
Kosovo,42.602636,20.902977,69,5.5889999999999995,0.80148,0.81198,0.63132,0.24749000000000002,0.2831,0.04741,2015
Turkmenistan,38.969719,59.556278000000006,70,5.547999999999999,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,2015
Mauritius,-20.348404000000002,57.552152,71,5.477,1.0076100000000001,0.98521,0.7095,0.56066,0.37744,0.07521,2015
Hong Kong,22.396428,114.10949699999999,72,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,2015
Estonia,58.595271999999994,25.013607,73,5.428999999999999,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,2015
Indonesia,-0.789275,113.921327,74,5.399,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.51535,0.0,2015
Vietnam,14.058323999999999,108.277199,75,5.36,0.63216,0.9122600000000001,0.7467600000000001,0.59444,0.1686,0.10440999999999999,2015
Turkey,38.963745,35.243322,76,5.332000000000001,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,2015
Kyrgyzstan,41.20438,74.766098,77,5.2860000000000005,0.47428000000000003,1.15115,0.65088,0.43477,0.3003,0.042319999999999997,2015
Nigeria,9.081999,8.675277000000001,78,5.268,0.65435,0.9043200000000001,0.16007000000000002,0.34334000000000003,0.27233,0.0403,2015
Bhutan,27.514162,90.433601,79,5.252999999999999,0.77042,1.10395,0.57407,0.5320600000000001,0.47998,0.15445,2015
Azerbaijan,40.143105,47.576927000000005,80,5.212000000000001,1.02389,0.9379299999999999,0.64045,0.3703,0.07799,0.16065,2015
Pakistan,30.375321000000003,69.345116,81,5.194,0.59543,0.41411000000000003,0.51466,0.12102,0.33671,0.10464000000000001,2015
Jordan,30.585164000000002,36.238414,82,5.192,0.9019799999999999,1.05392,0.69639,0.40660999999999997,0.11052999999999999,0.14293,2015
Montenegro,42.708678000000006,19.37439,82,5.192,0.9743799999999999,0.9055700000000001,0.72521,0.1826,0.1614,0.14296,2015
China,35.86166,104.195397,84,5.14,0.89012,0.94675,0.81658,0.5169699999999999,0.08185,0.02781,2015
Zambia,-13.133897,27.849332,85,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,2015
Romania,45.943160999999996,24.96676,86,5.124,1.04345,0.8858799999999999,0.7689,0.35068,0.13748,0.006490000000000001,2015
Serbia,44.016521000000004,21.005859,87,5.122999999999999,0.92053,1.0096399999999999,0.74836,0.20107,0.19230999999999998,0.02617,2015
Portugal,39.399871999999995,-8.224454,88,5.102,1.15991,1.13935,0.8751899999999999,0.51469,0.13719,0.01078,2015
Latvia,56.879635,24.603189,89,5.098,1.11312,1.09562,0.72437,0.29671,0.18225999999999998,0.06332,2015
Philippines,12.879721,121.77401699999999,90,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279000000000001,2015
Somaliland Region,-6.17476,106.82707,91,5.0569999999999995,0.18847,0.95152,0.43873,0.46581999999999996,0.5031800000000001,0.39928,2015
Morocco,31.791702,-7.09262,92,5.013,0.7347899999999999,0.64095,0.60954,0.41691000000000006,0.07172,0.08546000000000001,2015
Macedonia,41.608635,21.745275,93,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.053270000000000005,2015
Mozambique,-18.665695,35.529562,94,4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,2015
Albania,41.153332,20.168331,95,4.959,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.14272,0.06412999999999999,2015
Bosnia and Herzegovina,43.915886,17.679076000000002,96,4.949,0.8322299999999999,0.9191600000000001,0.79081,0.09245,0.24808000000000002,0.00227,2015
Lesotho,-29.609988,28.233608,97,4.898,0.37545,1.04103,0.07612000000000001,0.31767,0.16388,0.12504,2015
Dominican Republic,18.735692999999998,-70.162651,98,4.885,0.8953700000000001,1.17202,0.66825,0.57672,0.21684,0.14234000000000002,2015
Laos,19.856270000000002,102.495496,99,4.876,0.5906600000000001,0.73803,0.54909,0.59591,0.42191999999999996,0.24249,2015
Mongolia,46.862496,103.84665600000001,100,4.874,0.82819,1.3006,0.60268,0.43626000000000004,0.3323,0.026660000000000003,2015
Swaziland,-26.522503000000004,31.465866,101,4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,2015
Greece,39.074208,21.824312,102,4.857,1.15406,0.9293299999999999,0.88213,0.07699,0.0,0.013969999999999998,2015
Lebanon,33.854721000000005,35.862285,103,4.8389999999999995,1.0256399999999999,0.80001,0.83947,0.33916,0.21854,0.04582,2015
Hungary,47.162494,19.503304,104,4.8,1.12094,1.20215,0.75905,0.32111999999999996,0.128,0.02758,2015
Honduras,15.199998999999998,-86.241905,105,4.788,0.59532,0.9534799999999999,0.6951,0.40148,0.23026999999999997,0.06825,2015
Tajikistan,38.861034000000004,71.276093,106,4.7860000000000005,0.39047,0.8556299999999999,0.5737899999999999,0.47216,0.22974,0.15072,2015
Tunisia,33.886917,9.537499,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,2015
Palestinian Territories,31.952162,35.233154,108,4.715,0.59867,0.92558,0.66015,0.24499,0.11250999999999999,0.12905,2015
Bangladesh,23.684994,90.35633100000001,109,4.694,0.39753,0.43106000000000005,0.60164,0.4082,0.21222,0.12569,2015
Iran,32.427908,53.68804599999999,110,4.686,1.0088,0.54447,0.69805,0.30033000000000004,0.38086,0.058629999999999995,2015
Ukraine,48.379433,31.16558,111,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,2015
Iraq,33.223191,43.679291,112,4.677,0.98549,0.81889,0.60237,0.0,0.17922000000000002,0.13788,2015
South Africa,-30.559482,22.937506,113,4.6419999999999995,0.9204899999999999,1.18468,0.27688,0.33207,0.11972999999999999,0.08884,2015
Ghana,7.946527000000001,-1.0231940000000002,114,4.633,0.5455800000000001,0.6795399999999999,0.40131999999999995,0.42341999999999996,0.23087,0.04355,2015
Zimbabwe,-19.015438,29.154857,115,4.61,0.271,1.0327600000000001,0.33475,0.25861,0.18987,0.08079,2015
Liberia,6.4280550000000005,-9.429499,116,4.571000000000001,0.0712,0.78968,0.34201,0.28531,0.24361999999999998,0.06232000000000001,2015
India,20.593684,78.96288,117,4.565,0.64499,0.38174,0.5152899999999999,0.39786,0.26475,0.08492000000000001,2015
Sudan,12.862807,30.217636,118,4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466,2015
Haiti,18.971187,-72.28521500000001,119,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175,2015
Congo (Kinshasa),-4.32153,15.31185,120,4.5169999999999995,0.0,1.0012,0.09806000000000001,0.22605,0.24834,0.07625,2015
Nepal,28.394857000000002,84.12400799999999,121,4.513999999999999,0.35996999999999996,0.86449,0.5687399999999999,0.38282,0.32295999999999997,0.059070000000000004,2015
Ethiopia,9.145,40.489672999999996,122,4.512,0.19072999999999998,0.60406,0.44055,0.4345,0.24325,0.15048,2015
Sierra Leone,8.460555000000001,-11.779889,123,4.507,0.33024000000000003,0.9557100000000001,0.0,0.4084,0.21488000000000002,0.08786000000000001,2015
Mauritania,21.00789,-10.940835,124,4.436,0.45407,0.86908,0.35874,0.24231999999999998,0.21899999999999997,0.17461,2015
Kenya,-0.023559,37.906193,125,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839,2015
Djibouti,11.825138,42.590275,126,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,2015
Armenia,40.069099,45.038189,127,4.35,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.07855,0.039,2015
Botswana,-22.328474,24.684866,128,4.332,0.99355,1.10464,0.047760000000000004,0.49495,0.10461,0.12474,2015
Myanmar,21.916222,95.955971,129,4.3069999999999995,0.27108000000000004,0.70905,0.48246000000000006,0.44017,0.79588,0.19034,2015
Georgia,42.315407,43.356891999999995,130,4.297,0.7419,0.38561999999999996,0.72926,0.40576999999999996,0.055470000000000005,0.38331,2015
Malawi,-13.254307999999998,34.301525,131,4.292,0.016040000000000002,0.41134,0.22562,0.43054,0.33128,0.06977,2015
Sri Lanka,7.873054,80.77179699999999,132,4.271,0.83524,1.01905,0.70806,0.5372600000000001,0.40828000000000003,0.09179,2015
Cameroon,7.369722,12.354722,133,4.252,0.4225,0.8876700000000001,0.23401999999999998,0.49309,0.20618000000000003,0.05786,2015
Bulgaria,42.733883,25.48583,134,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,2015
Egypt,26.820553000000004,30.802497999999996,135,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324,2015
Yemen,15.552726999999999,48.516388,136,4.077,0.5464899999999999,0.68093,0.40064,0.35570999999999997,0.09131,0.07854,2015
Angola,-11.202691999999999,17.873887,137,4.033,0.75778,0.8604,0.16683,0.10384000000000002,0.12344000000000001,0.07122,2015
Mali,17.570692,-3.9961660000000006,138,3.995,0.26074,1.03526,0.20583,0.38856999999999997,0.18798,0.12352,2015
Congo (Brazzaville),-4.26613,15.283179999999998,139,3.989,0.67866,0.6629,0.31051,0.41466000000000003,0.12387999999999999,0.11685999999999999,2015
Comoros,-11.875001,43.872219,140,3.9560000000000004,0.23906,0.79273,0.36315,0.22916999999999998,0.17440999999999998,0.19899999999999998,2015
Uganda,1.373333,32.290275,141,3.931,0.21101999999999999,1.13299,0.33860999999999997,0.45726999999999995,0.29066,0.07267,2015
Senegal,14.497401000000002,-14.452361999999999,142,3.904,0.36498,0.97619,0.4354,0.36772,0.20843000000000003,0.10712999999999999,2015
Gabon,-0.803689,11.609444,143,3.8960000000000004,1.06024,0.90528,0.43372,0.31914000000000003,0.06822,0.11091,2015
Niger,17.607789,8.081666,144,3.845,0.0694,0.77265,0.29707,0.47691999999999996,0.19387000000000001,0.15639,2015
Cambodia,12.565679,104.990963,145,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247,2015
Tanzania,-6.369028,34.888822,146,3.781,0.2852,1.00268,0.38215,0.32878,0.34376999999999996,0.05747000000000001,2015
Madagascar,-18.766947000000002,46.869107,147,3.681,0.20824,0.66801,0.46721,0.19184,0.21333000000000002,0.08123999999999999,2015
Central African Republic,6.611111,20.939444,148,3.678,0.0785,0.0,0.06699,0.48878999999999995,0.23835,0.08288999999999999,2015
Chad,15.454166,18.732207,149,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,2015
Guinea,9.945587,-9.696645,150,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139000000000001,2015
Ivory Coast,5.30966,-4.01266,151,3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922000000000002,2015
Burkina Faso,12.238333,-1.561593,152,3.5869999999999997,0.25811999999999996,0.85188,0.27125,0.39493,0.21746999999999997,0.12832000000000002,2015
Afghanistan,33.93911,67.709953,153,3.575,0.31982,0.30285,0.30335,0.23414000000000001,0.3651,0.09719,2015
Rwanda,-1.940278,29.873888,154,3.465,0.22208000000000003,0.7737,0.42863999999999997,0.59201,0.22628,0.55191,2015
Benin,9.30769,2.315834,155,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,2015
Syria,34.802075,38.996815000000005,156,3.0060000000000002,0.6632,0.47489,0.7219300000000001,0.15684,0.47179,0.18905999999999998,2015
Burundi,-3.3730559999999996,29.918885999999997,157,2.905,0.0153,0.41586999999999996,0.22396,0.1185,0.19727,0.10062,2015
Togo,8.619543,0.824782,158,2.839,0.20868,0.13995,0.28443,0.36453,0.16680999999999999,0.10730999999999999,2015
